metodo,poblacion,generaciones_config,generaciones_ejecutadas,semilla,fitness_total,distancia_total,cursos_sin_senior,seniors_fuera_disponibilidad,seniors_en_conflicto,juniors_fuera_disponibilidad,juniors_en_conflicto,cursos_con_junior,duracion_seg
genetico,20,10,10,1,892.0,312.0,0,0,2,2,0,11,0.0541
genetico,20,10,10,2,844.5,284.5,0,0,2,2,0,12,0.0611
genetico,20,10,10,3,930.5,290.5,0,1,1,1,1,8,0.0605
genetico,20,10,10,4,889.0,309.0,0,0,2,2,0,11,0.0377
genetico,20,10,10,5,921.5,321.5,0,1,1,2,1,15,0.03
genetico,20,10,10,6,1033.0,353.0,0,0,2,3,1,16,0.0286
genetico,20,10,10,7,1068.5,348.5,0,0,2,4,0,14,0.0299
genetico,20,10,10,8,868.5,288.5,0,0,2,2,0,11,0.0472
genetico,20,30,30,1,766.0,286.0,0,0,2,1,0,11,0.0987
genetico,20,30,30,2,751.5,271.5,0,0,2,1,0,11,0.084
genetico,20,30,30,3,735.5,295.5,0,1,1,1,0,13,0.1077
genetico,20,30,30,4,768.5,248.5,0,0,2,1,0,9,0.0845
genetico,20,30,30,5,730.0,290.0,0,1,1,1,0,13,0.0843
genetico,20,30,30,6,750.0,290.0,0,0,2,1,0,12,0.0831
genetico,20,30,30,7,863.0,303.0,0,0,2,2,0,12,0.0855
genetico,20,30,30,8,783.5,283.5,0,0,2,1,0,10,0.0795
genetico,20,60,60,1,639.0,299.0,0,0,2,0,0,13,0.1733
genetico,20,60,60,2,633.5,253.5,0,1,1,0,0,11,0.1543
genetico,20,60,60,3,629.0,269.0,0,1,1,0,0,12,0.2538
genetico,20,60,60,4,645.0,245.0,0,0,2,0,0,10,0.178
genetico,20,60,60,5,637.0,297.0,0,1,1,0,0,13,0.2592
genetico,20,60,60,6,638.5,258.5,0,0,2,0,0,11,0.1423
genetico,20,60,60,7,658.0,278.0,0,1,1,0,0,11,0.1514
genetico,20,60,60,8,657.0,257.0,0,1,1,0,0,10,0.1618
genetico,20,150,150,1,592.0,272.0,0,2,0,0,0,14,0.4103
genetico,20,150,150,2,593.0,253.0,0,1,1,0,0,13,0.3964
genetico,20,150,150,3,605.5,265.5,0,1,1,0,0,13,0.562
genetico,20,150,150,4,601.5,241.5,0,2,0,0,0,12,0.3674
genetico,20,150,150,5,603.5,283.5,0,2,0,0,0,14,0.4723
genetico,20,150,150,6,606.0,246.0,0,2,0,0,0,12,0.4028
genetico,20,150,150,7,594.5,254.5,0,2,0,0,0,13,0.3811
genetico,20,150,150,8,623.0,243.0,0,1,1,0,0,11,0.4035
genetico,50,10,10,1,810.0,290.0,0,0,2,2,0,14,0.0832
genetico,50,10,10,2,782.0,302.0,0,1,1,0,1,11,0.1042
genetico,50,10,10,3,734.5,294.5,0,0,2,1,0,13,0.1086
genetico,50,10,10,4,660.5,320.5,0,1,1,0,0,13,0.0721
genetico,50,10,10,5,705.5,265.5,0,1,1,0,0,8,0.0751
genetico,50,10,10,6,715.5,315.5,0,1,1,0,0,10,0.1179
genetico,50,10,10,7,724.0,304.0,0,0,2,0,1,14,0.0954
genetico,50,10,10,8,630.5,290.5,0,0,2,0,0,13,0.0888
genetico,50,30,30,1,596.5,236.5,0,1,1,0,0,12,0.2121
genetico,50,30,30,2,662.5,282.5,0,0,2,0,0,11,0.2578
genetico,50,30,30,3,616.5,276.5,0,0,2,0,0,13,0.2677
genetico,50,30,30,4,620.5,280.5,0,1,1,0,0,13,0.2215
genetico,50,30,30,5,633.5,273.5,0,1,1,0,0,12,0.2626
genetico,50,30,30,6,633.0,273.0,0,1,1,0,0,12,0.2367
genetico,50,30,30,7,627.5,287.5,0,0,2,0,0,13,0.2058
genetico,50,30,30,8,612.5,272.5,0,0,2,0,0,13,0.2479
genetico,50,60,60,1,567.5,227.5,0,2,0,0,0,13,0.4928
genetico,50,60,60,2,611.5,271.5,0,1,1,0,0,13,0.446
genetico,50,60,60,3,574.5,254.5,0,1,1,0,0,14,0.4299
genetico,50,60,60,4,582.5,262.5,0,1,1,0,0,14,0.3589
genetico,50,60,60,5,624.5,264.5,0,2,0,0,0,12,0.4627
genetico,50,60,60,6,603.0,263.0,0,2,0,0,0,13,0.4544
genetico,50,60,60,7,593.5,273.5,0,1,1,0,0,14,0.4664
genetico,50,60,60,8,600.0,260.0,0,1,1,0,0,13,0.5064
genetico,50,150,150,1,566.5,226.5,0,2,0,0,0,13,1.1554
genetico,50,150,150,2,552.5,232.5,0,2,0,0,0,14,1.195
genetico,50,150,150,3,559.5,239.5,0,2,0,0,0,14,1.1073
genetico,50,150,150,4,559.5,239.5,0,2,0,0,0,14,1.2081
genetico,50,150,150,5,565.5,225.5,0,2,0,0,0,13,1.0556
genetico,50,150,150,6,571.5,231.5,0,2,0,0,0,13,1.2448
genetico,50,150,150,7,578.0,258.0,0,2,0,0,0,14,1.1563
genetico,50,150,150,8,576.0,256.0,0,1,1,0,0,14,1.2193
genetico,100,10,10,1,745.0,265.0,0,0,2,1,0,11,0.2066
genetico,100,10,10,2,755.5,275.5,0,0,2,1,0,11,0.2487
genetico,100,10,10,3,658.5,278.5,0,0,2,0,0,11,0.243
genetico,100,10,10,4,689.0,289.0,0,0,2,0,0,10,0.162
genetico,100,10,10,5,681.0,281.0,0,1,1,0,0,10,0.2315
genetico,100,10,10,6,746.5,306.5,0,0,2,1,0,13,0.2228
genetico,100,10,10,7,771.5,291.5,0,0,2,1,0,11,0.3125
genetico,100,10,10,8,688.0,288.0,0,0,2,0,0,10,0.1677
genetico,100,30,30,1,597.0,237.0,0,2,0,0,0,12,0.478
genetico,100,30,30,2,608.5,248.5,0,1,1,0,0,12,0.5683
genetico,100,30,30,3,586.5,246.5,0,1,1,0,0,13,0.3722
genetico,100,30,30,4,618.5,278.5,0,0,2,0,0,13,0.4538
genetico,100,30,30,5,591.5,251.5,0,2,0,0,0,13,0.409
genetico,100,30,30,6,607.0,247.0,0,1,1,0,0,12,0.393
genetico,100,30,30,7,604.0,284.0,0,1,1,0,0,14,0.3755
genetico,100,30,30,8,612.0,232.0,0,2,0,0,0,11,0.444
genetico,100,60,60,1,565.0,245.0,0,2,0,0,0,14,0.8157
genetico,100,60,60,2,571.0,231.0,0,2,0,0,0,13,0.826
genetico,100,60,60,3,571.5,231.5,0,2,0,0,0,13,0.8726
genetico,100,60,60,4,570.5,250.5,0,1,1,0,0,14,0.914
genetico,100,60,60,5,571.0,251.0,0,2,0,0,0,14,0.7793
genetico,100,60,60,6,599.0,239.0,0,1,1,0,0,12,0.8168
genetico,100,60,60,7,582.0,262.0,0,2,0,0,0,14,0.9547
genetico,100,60,60,8,571.5,231.5,0,2,0,0,0,13,0.9523
genetico,100,150,150,1,553.5,233.5,0,2,0,0,0,14,1.9718
genetico,100,150,150,2,553.5,233.5,0,2,0,0,0,14,2.0096
genetico,100,150,150,3,557.5,237.5,0,2,0,0,0,14,2.1586
genetico,100,150,150,4,551.5,231.5,0,2,0,0,0,14,1.9441
genetico,100,150,150,5,551.5,231.5,0,2,0,0,0,14,2.1285
genetico,100,150,150,6,571.5,231.5,0,2,0,0,0,13,1.9591
genetico,100,150,150,7,568.5,248.5,0,2,0,0,0,14,1.9933
genetico,100,150,150,8,559.0,239.0,0,2,0,0,0,14,1.9706
genetico,200,10,10,1,645.0,265.0,0,1,1,0,0,11,0.3535
genetico,200,10,10,2,652.0,252.0,0,0,2,0,0,10,0.3514
genetico,200,10,10,3,684.0,304.0,0,0,2,0,0,11,0.3173
genetico,200,10,10,4,648.0,268.0,0,0,2,0,0,11,0.3012
genetico,200,10,10,5,655.5,275.5,0,1,1,0,0,11,0.3609
genetico,200,10,10,6,721.5,241.5,0,1,1,0,0,6,0.4081
genetico,200,10,10,7,642.5,282.5,0,0,2,0,0,12,0.3514
genetico,200,10,10,8,706.0,266.0,0,0,2,0,0,8,0.3491
genetico,200,30,30,1,563.0,243.0,0,2,0,0,0,14,0.8443
genetico,200,30,30,2,578.0,238.0,0,1,1,0,0,13,1.1044
genetico,200,30,30,3,566.5,246.5,0,1,1,0,0,14,0.9321
genetico,200,30,30,4,562.5,242.5,0,2,0,0,0,14,0.9594
genetico,200,30,30,5,569.0,249.0,0,1,1,0,0,14,0.9633
genetico,200,30,30,6,585.5,245.5,0,2,0,0,0,13,1.0292
genetico,200,30,30,7,568.0,248.0,0,2,0,0,0,14,1.0744
genetico,200,30,30,8,596.5,256.5,0,1,1,0,0,13,0.9346
genetico,200,60,60,1,557.5,237.5,0,2,0,0,0,14,1.886
genetico,200,60,60,2,563.0,223.0,0,2,0,0,0,13,1.824
genetico,200,60,60,3,555.5,235.5,0,2,0,0,0,14,1.87
genetico,200,60,60,4,562.0,242.0,0,2,0,0,0,14,1.8115
genetico,200,60,60,5,551.5,231.5,0,2,0,0,0,14,2.0345
