poblacion,generaciones_config,semilla,generacion,min_fitness,avg_fitness
20,10,1,0,1898.5,2698.75
20,10,1,1,1792.0,2304.1
20,10,1,2,1413.5,2000.0
20,10,1,3,1413.5,1832.675
20,10,1,4,1378.5,1669.0
20,10,1,5,1087.5,1441.125
20,10,1,6,892.0,1301.125
20,10,1,7,892.0,1134.075
20,10,1,8,892.0,1066.325
20,10,1,9,892.0,1002.55
20,10,1,10,892.0,927.175
20,10,2,0,1789.5,2836.275
20,10,2,1,1789.5,2403.3
20,10,2,2,1617.0,2158.475
20,10,2,3,1617.0,1937.475
20,10,2,4,1364.5,1957.2
20,10,2,5,1132.0,1596.55
20,10,2,6,1132.0,1507.25
20,10,2,7,1047.0,1320.475
20,10,2,8,1047.0,1179.85
20,10,2,9,956.0,1148.9
20,10,2,10,844.5,1056.75
20,10,3,0,1699.5,2843.325
20,10,3,1,1247.5,1959.125
20,10,3,2,1247.5,1639.675
20,10,3,3,1182.0,1484.175
20,10,3,4,1086.0,1289.85
20,10,3,5,1069.0,1278.5
20,10,3,6,1032.5,1240.275
20,10,3,7,1032.5,1096.6
20,10,3,8,965.0,1047.4
20,10,3,9,965.0,1025.8
20,10,3,10,930.5,1009.65
20,10,4,0,1846.5,2555.0
20,10,4,1,1196.5,2139.325
20,10,4,2,1196.5,1809.4
20,10,4,3,1069.5,1434.1
20,10,4,4,974.0,1213.975
20,10,4,5,974.0,1143.4
20,10,4,6,970.0,1089.75
20,10,4,7,904.0,995.3
20,10,4,8,904.0,1013.975
20,10,4,9,889.0,956.125
20,10,4,10,889.0,972.075
20,10,5,0,1643.0,2296.775
20,10,5,1,1629.0,1956.225
20,10,5,2,1348.0,1934.55
20,10,5,3,1312.5,1738.25
20,10,5,4,1312.5,1453.6
20,10,5,5,1128.0,1372.2
20,10,5,6,1128.0,1335.0
20,10,5,7,1017.5,1255.55
20,10,5,8,932.0,1197.1
20,10,5,9,932.0,1098.925
20,10,5,10,921.5,1039.275
20,10,6,0,1915.0,2818.275
20,10,6,1,1573.5,2172.95
20,10,6,2,1573.5,2052.1
20,10,6,3,1355.0,2003.075
20,10,6,4,1355.0,1865.625
20,10,6,5,1273.0,1715.05
20,10,6,6,1273.0,1644.125
20,10,6,7,1273.0,1496.175
20,10,6,8,1247.0,1339.675
20,10,6,9,1150.0,1540.125
20,10,6,10,1033.0,1376.175
20,10,7,0,1555.0,2565.125
20,10,7,1,1424.0,2016.475
20,10,7,2,1342.5,1652.325
20,10,7,3,1284.5,1526.5
20,10,7,4,1284.5,1565.225
20,10,7,5,1153.5,1531.6
20,10,7,6,1153.5,1390.225
20,10,7,7,1153.5,1375.975
20,10,7,8,1148.5,1223.525
20,10,7,9,1148.5,1218.525
20,10,7,10,1068.5,1184.925
20,10,8,0,1163.0,2684.2
20,10,8,1,1163.0,2155.8
20,10,8,2,1149.5,1638.625
20,10,8,3,1149.5,1397.475
20,10,8,4,1052.5,1254.5
20,10,8,5,1051.5,1169.0
20,10,8,6,960.5,1131.225
20,10,8,7,876.5,1127.75
20,10,8,8,876.5,1007.3
20,10,8,9,868.5,991.075
20,10,8,10,868.5,968.025
20,30,1,0,1898.5,2698.75
20,30,1,1,1792.0,2304.1
20,30,1,2,1413.5,2000.0
20,30,1,3,1413.5,1832.675
20,30,1,4,1378.5,1669.0
20,30,1,5,1087.5,1441.125
20,30,1,6,892.0,1301.125
20,30,1,7,892.0,1134.075
20,30,1,8,892.0,1066.325
20,30,1,9,892.0,1002.55
20,30,1,10,892.0,927.175
20,30,1,11,892.0,911.625
20,30,1,12,892.0,947.675
20,30,1,13,883.0,939.8
20,30,1,14,883.0,948.275
20,30,1,15,883.0,907.95
20,30,1,16,883.0,926.625
20,30,1,17,873.5,917.425
20,30,1,18,862.0,880.0
20,30,1,19,862.0,892.85
20,30,1,20,862.0,885.625
20,30,1,21,857.0,911.5
20,30,1,22,857.0,869.225
20,30,1,23,857.0,901.9
20,30,1,24,842.0,884.75
20,30,1,25,842.0,890.225
20,30,1,26,842.0,880.025
20,30,1,27,842.0,869.45
20,30,1,28,766.0,852.75
20,30,1,29,766.0,883.15
20,30,1,30,766.0,870.675
20,30,2,0,1789.5,2836.275
20,30,2,1,1789.5,2403.3
20,30,2,2,1617.0,2158.475
20,30,2,3,1617.0,1937.475
20,30,2,4,1364.5,1957.2
20,30,2,5,1132.0,1596.55
20,30,2,6,1132.0,1507.25
20,30,2,7,1047.0,1320.475
20,30,2,8,1047.0,1179.85
20,30,2,9,956.0,1148.9
20,30,2,10,844.5,1056.75
20,30,2,11,844.5,983.925
20,30,2,12,844.5,941.55
20,30,2,13,844.5,893.6
20,30,2,14,844.5,915.025
20,30,2,15,844.5,855.575
20,30,2,16,751.5,841.6
20,30,2,17,751.5,881.95
20,30,2,18,751.5,786.325
20,30,2,19,751.5,758.525
20,30,2,20,751.5,766.075
20,30,2,21,751.5,793.3
20,30,2,22,751.5,790.9
20,30,2,23,751.5,779.6
20,30,2,24,751.5,835.6
20,30,2,25,751.5,786.225
20,30,2,26,751.5,818.925
20,30,2,27,751.5,771.9
20,30,2,28,751.5,798.175
20,30,2,29,751.5,751.5
20,30,2,30,751.5,805.775
20,30,3,0,1699.5,2843.325
20,30,3,1,1247.5,1959.125
20,30,3,2,1247.5,1639.675
20,30,3,3,1182.0,1484.175
20,30,3,4,1086.0,1289.85
20,30,3,5,1069.0,1278.5
20,30,3,6,1032.5,1240.275
20,30,3,7,1032.5,1096.6
20,30,3,8,965.0,1047.4
20,30,3,9,965.0,1025.8
20,30,3,10,930.5,1009.65
20,30,3,11,880.0,985.55
20,30,3,12,842.0,988.65
20,30,3,13,812.5,925.4
20,30,3,14,778.0,853.35
20,30,3,15,778.0,879.825
20,30,3,16,752.0,870.2
20,30,3,17,752.0,792.7
20,30,3,18,752.0,768.925
20,30,3,19,752.0,782.425
20,30,3,20,752.0,825.2
20,30,3,21,752.0,823.1
20,30,3,22,752.0,766.8
20,30,3,23,752.0,808.975
20,30,3,24,752.0,762.675
20,30,3,25,752.0,753.0
20,30,3,26,752.0,836.2
20,30,3,27,752.0,757.975
20,30,3,28,741.0,766.7
20,30,3,29,735.5,769.275
20,30,3,30,735.5,793.4
20,30,4,0,1846.5,2555.0
20,30,4,1,1196.5,2139.325
20,30,4,2,1196.5,1809.4
20,30,4,3,1069.5,1434.1
20,30,4,4,974.0,1213.975
20,30,4,5,974.0,1143.4
20,30,4,6,970.0,1089.75
20,30,4,7,904.0,995.3
20,30,4,8,904.0,1013.975
20,30,4,9,889.0,956.125
20,30,4,10,889.0,972.075
20,30,4,11,889.0,921.8
20,30,4,12,889.0,951.9
20,30,4,13,888.0,938.95
20,30,4,14,880.5,909.575
20,30,4,15,880.5,887.725
20,30,4,16,792.5,1022.55
20,30,4,17,784.5,882.775
20,30,4,18,784.5,863.625
20,30,4,19,784.5,816.45
20,30,4,20,784.5,827.275
20,30,4,21,784.5,816.375
20,30,4,22,779.5,842.975
20,30,4,23,779.5,791.975
20,30,4,24,779.5,803.6
20,30,4,25,774.0,799.35
20,30,4,26,774.0,794.2
20,30,4,27,774.0,776.75
20,30,4,28,774.0,818.475
20,30,4,29,768.5,812.575
20,30,4,30,768.5,945.525
20,30,5,0,1643.0,2296.775
20,30,5,1,1629.0,1956.225
20,30,5,2,1348.0,1934.55
20,30,5,3,1312.5,1738.25
20,30,5,4,1312.5,1453.6
20,30,5,5,1128.0,1372.2
20,30,5,6,1128.0,1335.0
20,30,5,7,1017.5,1255.55
20,30,5,8,932.0,1197.1
20,30,5,9,932.0,1098.925
20,30,5,10,921.5,1039.275
20,30,5,11,856.0,994.0
20,30,5,12,827.5,943.475
20,30,5,13,827.5,951.725
20,30,5,14,827.5,910.1
20,30,5,15,827.5,857.4
20,30,5,16,827.5,934.325
20,30,5,17,827.5,852.65
20,30,5,18,827.5,868.55
20,30,5,19,827.5,948.575
20,30,5,20,827.5,884.275
20,30,5,21,731.5,834.15
20,30,5,22,731.5,887.575
20,30,5,23,731.5,806.6
20,30,5,24,731.5,743.025
20,30,5,25,731.5,742.65
20,30,5,26,731.5,756.575
20,30,5,27,731.0,736.2
20,30,5,28,731.0,764.225
20,30,5,29,731.0,761.55
20,30,5,30,730.0,762.725
20,30,6,0,1915.0,2818.275
20,30,6,1,1573.5,2172.95
20,30,6,2,1573.5,2052.1
20,30,6,3,1355.0,2003.075
20,30,6,4,1355.0,1865.625
20,30,6,5,1273.0,1715.05
20,30,6,6,1273.0,1644.125
20,30,6,7,1273.0,1496.175
20,30,6,8,1247.0,1339.675
20,30,6,9,1150.0,1540.125
20,30,6,10,1033.0,1376.175
20,30,6,11,1033.0,1288.7
20,30,6,12,1033.0,1247.8
20,30,6,13,1033.0,1351.375
20,30,6,14,1020.5,1248.675
20,30,6,15,932.0,1077.525
20,30,6,16,932.0,1086.55
20,30,6,17,932.0,1092.875
20,30,6,18,861.5,950.225
20,30,6,19,836.0,1010.025
20,30,6,20,836.0,928.375
20,30,6,21,760.5,883.075
20,30,6,22,760.5,872.0
20,30,6,23,751.0,791.45
20,30,6,24,751.0,767.1
20,30,6,25,751.0,777.75
20,30,6,26,751.0,822.825
20,30,6,27,751.0,823.0
20,30,6,28,751.0,796.2
20,30,6,29,750.0,756.375
20,30,6,30,750.0,821.45
20,30,7,0,1555.0,2565.125
20,30,7,1,1424.0,2016.475
20,30,7,2,1342.5,1652.325
20,30,7,3,1284.5,1526.5
20,30,7,4,1284.5,1565.225
20,30,7,5,1153.5,1531.6
20,30,7,6,1153.5,1390.225
20,30,7,7,1153.5,1375.975
20,30,7,8,1148.5,1223.525
20,30,7,9,1148.5,1218.525
20,30,7,10,1068.5,1184.925
20,30,7,11,1063.0,1160.225
20,30,7,12,999.0,1138.425
20,30,7,13,972.5,1061.975
20,30,7,14,887.5,1037.175
20,30,7,15,887.5,1019.025
20,30,7,16,887.5,1017.65
20,30,7,17,887.5,1022.4
20,30,7,18,887.5,935.125
20,30,7,19,887.5,944.125
20,30,7,20,887.5,903.475
20,30,7,21,887.5,891.75
20,30,7,22,887.5,921.15
20,30,7,23,887.5,952.3
20,30,7,24,887.5,888.225
20,30,7,25,878.5,891.6
20,30,7,26,877.0,890.125
20,30,7,27,873.5,951.775
20,30,7,28,873.5,885.775
20,30,7,29,863.0,887.5
20,30,7,30,863.0,886.775
20,30,8,0,1163.0,2684.2
20,30,8,1,1163.0,2155.8
20,30,8,2,1149.5,1638.625
20,30,8,3,1149.5,1397.475
20,30,8,4,1052.5,1254.5
20,30,8,5,1051.5,1169.0
20,30,8,6,960.5,1131.225
20,30,8,7,876.5,1127.75
20,30,8,8,876.5,1007.3
20,30,8,9,868.5,991.075
20,30,8,10,868.5,968.025
20,30,8,11,868.5,908.05
20,30,8,12,868.5,942.65
20,30,8,13,868.5,940.575
20,30,8,14,868.5,899.275
20,30,8,15,868.5,884.85
20,30,8,16,868.5,868.5
20,30,8,17,868.5,916.8
20,30,8,18,868.5,874.6
20,30,8,19,783.5,889.875
20,30,8,20,783.5,932.125
20,30,8,21,783.5,895.9
20,30,8,22,783.5,819.225
20,30,8,23,783.5,822.85
20,30,8,24,783.5,848.15
20,30,8,25,783.5,812.8
20,30,8,26,783.5,803.325
20,30,8,27,783.5,810.275
20,30,8,28,783.5,818.625
20,30,8,29,783.5,833.775
20,30,8,30,783.5,820.55
20,60,1,0,1898.5,2698.75
20,60,1,1,1792.0,2304.1
20,60,1,2,1413.5,2000.0
20,60,1,3,1413.5,1832.675
20,60,1,4,1378.5,1669.0
20,60,1,5,1087.5,1441.125
20,60,1,6,892.0,1301.125
20,60,1,7,892.0,1134.075
20,60,1,8,892.0,1066.325
20,60,1,9,892.0,1002.55
20,60,1,10,892.0,927.175
20,60,1,11,892.0,911.625
20,60,1,12,892.0,947.675
20,60,1,13,883.0,939.8
20,60,1,14,883.0,948.275
20,60,1,15,883.0,907.95
20,60,1,16,883.0,926.625
20,60,1,17,873.5,917.425
20,60,1,18,862.0,880.0
20,60,1,19,862.0,892.85
20,60,1,20,862.0,885.625
20,60,1,21,857.0,911.5
20,60,1,22,857.0,869.225
20,60,1,23,857.0,901.9
20,60,1,24,842.0,884.75
20,60,1,25,842.0,890.225
20,60,1,26,842.0,880.025
20,60,1,27,842.0,869.45
20,60,1,28,766.0,852.75
20,60,1,29,766.0,883.15
20,60,1,30,766.0,870.675
20,60,1,31,766.0,878.95
20,60,1,32,757.0,867.725
20,60,1,33,757.0,863.525
20,60,1,34,757.0,817.2
20,60,1,35,757.0,889.1
20,60,1,36,757.0,830.625
20,60,1,37,757.0,783.65
20,60,1,38,757.0,831.525
20,60,1,39,757.0,762.55
20,60,1,40,757.0,857.3
20,60,1,41,711.5,820.2
20,60,1,42,668.0,750.175
20,60,1,43,668.0,777.95
20,60,1,44,668.0,746.45
20,60,1,45,659.0,815.45
20,60,1,46,659.0,705.275
20,60,1,47,659.0,696.75
20,60,1,48,659.0,700.95
20,60,1,49,659.0,731.525
20,60,1,50,659.0,716.75
20,60,1,51,653.5,698.5
20,60,1,52,639.0,690.925
20,60,1,53,639.0,699.925
20,60,1,54,639.0,659.175
20,60,1,55,639.0,659.125
20,60,1,56,639.0,704.025
20,60,1,57,639.0,659.3
20,60,1,58,639.0,649.1
20,60,1,59,639.0,639.0
20,60,1,60,639.0,684.975
20,60,2,0,1789.5,2836.275
20,60,2,1,1789.5,2403.3
20,60,2,2,1617.0,2158.475
20,60,2,3,1617.0,1937.475
20,60,2,4,1364.5,1957.2
20,60,2,5,1132.0,1596.55
20,60,2,6,1132.0,1507.25
20,60,2,7,1047.0,1320.475
20,60,2,8,1047.0,1179.85
20,60,2,9,956.0,1148.9
20,60,2,10,844.5,1056.75
20,60,2,11,844.5,983.925
20,60,2,12,844.5,941.55
20,60,2,13,844.5,893.6
20,60,2,14,844.5,915.025
20,60,2,15,844.5,855.575
20,60,2,16,751.5,841.6
20,60,2,17,751.5,881.95
20,60,2,18,751.5,786.325
20,60,2,19,751.5,758.525
20,60,2,20,751.5,766.075
20,60,2,21,751.5,793.3
20,60,2,22,751.5,790.9
20,60,2,23,751.5,779.6
20,60,2,24,751.5,835.6
20,60,2,25,751.5,786.225
20,60,2,26,751.5,818.925
20,60,2,27,751.5,771.9
20,60,2,28,751.5,798.175
20,60,2,29,751.5,751.5
20,60,2,30,751.5,805.775
20,60,2,31,751.5,776.35
20,60,2,32,751.5,787.875
20,60,2,33,751.5,788.025
20,60,2,34,751.5,829.6
20,60,2,35,751.5,751.7
