metodo,factor_escala,n_profesores,n_escuelas,n_cursos,semilla,fitness_total,fitness_por_curso,distancia_total,duracion_seg,violaciones_duras,violaciones_duras_por_curso,cursos_sin_senior,seniors_fuera_disponibilidad,seniors_en_conflicto,juniors_fuera_disponibilidad,juniors_en_conflicto,cursos_con_junior
genetico,1,16,4,22,1,565.0,25.682,245.0,1.4336,2,0.090909,0,2,0,0,0,14
greedy,1,16,4,22,1,2661.5,120.977,421.5,0.0009,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,1,3086.0,140.273,286.0,1.2273,8,0.363636,0,7,1,5,1,10
genetico,1,16,4,22,2,571.0,25.955,231.0,1.3684,2,0.090909,0,2,0,0,0,13
greedy,1,16,4,22,2,2661.5,120.977,421.5,0.0006,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,2,2725.5,123.886,265.5,1.2507,8,0.363636,0,7,1,2,0,7
genetico,1,16,4,22,3,571.5,25.977,231.5,1.5287,2,0.090909,0,2,0,0,0,13
greedy,1,16,4,22,3,2661.5,120.977,421.5,0.0006,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,3,2904.0,132.0,264.0,1.1465,9,0.409091,0,9,0,1,0,8
genetico,1,16,4,22,4,570.5,25.932,250.5,1.487,2,0.090909,0,1,1,0,0,14
greedy,1,16,4,22,4,2661.5,120.977,421.5,0.0006,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,4,2979.5,135.432,259.5,1.1535,8,0.363636,0,8,0,4,0,4
genetico,1,16,4,22,5,571.0,25.955,251.0,1.4532,2,0.090909,0,2,0,0,0,14
greedy,1,16,4,22,5,2661.5,120.977,421.5,0.0007,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,5,3303.0,150.136,383.0,1.3697,8,0.363636,0,7,1,8,0,14
genetico,1,16,4,22,6,599.0,27.227,239.0,1.7755,2,0.090909,0,1,1,0,0,12
greedy,1,16,4,22,6,2661.5,120.977,421.5,0.0006,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,6,3315.0,150.682,275.0,1.1047,10,0.454545,0,9,1,2,0,8
genetico,1,16,4,22,7,582.0,26.455,262.0,1.5303,2,0.090909,0,2,0,0,0,14
greedy,1,16,4,22,7,2661.5,120.977,421.5,0.0006,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,7,2910.0,132.273,350.0,1.3549,7,0.318182,0,7,0,7,0,12
genetico,1,16,4,22,8,571.5,25.977,231.5,1.388,2,0.090909,0,2,0,0,0,13
greedy,1,16,4,22,8,2661.5,120.977,421.5,0.0006,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,8,3289.5,149.523,269.5,1.1543,9,0.409091,0,8,1,5,0,9
genetico,1,16,4,22,9,568.0,25.818,248.0,1.5717,2,0.090909,0,1,1,0,0,14
greedy,1,16,4,22,9,2661.5,120.977,421.5,0.0009,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,9,3192.0,145.091,252.0,1.2594,9,0.409091,0,9,0,4,0,8
genetico,1,16,4,22,10,578.5,26.295,258.5,1.4695,2,0.090909,0,2,0,0,0,14
greedy,1,16,4,22,10,2661.5,120.977,421.5,0.0008,6,0.272727,0,0,6,0,8,18
random,1,16,4,22,10,3190.5,145.023,290.5,1.1538,8,0.363636,0,7,1,6,1,10
genetico,2,32,8,44,1,1315.5,29.898,535.5,2.6591,4,0.090909,0,1,3,0,0,21
greedy,2,32,8,44,1,7221.5,164.125,841.5,0.0022,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,1,8248.0,187.455,528.0,2.1945,24,0.545455,0,21,3,9,0,19
genetico,2,32,8,44,2,1291.5,29.352,571.5,2.6293,4,0.090909,0,2,2,0,0,24
greedy,2,32,8,44,2,7221.5,164.125,841.5,0.0022,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,2,8002.5,181.875,642.5,2.1807,21,0.477273,0,19,2,14,1,22
genetico,2,32,8,44,3,1297.0,29.477,577.0,2.6321,4,0.090909,0,2,2,0,0,24
greedy,2,32,8,44,3,7221.5,164.125,841.5,0.0023,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,3,7138.5,162.239,578.5,2.1935,19,0.431818,0,17,2,12,1,22
genetico,2,32,8,44,4,1323.0,30.068,543.0,2.5879,4,0.090909,0,2,2,0,0,21
greedy,2,32,8,44,4,7221.5,164.125,841.5,0.0021,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,4,8411.5,191.17,571.5,2.1899,23,0.522727,0,19,4,12,1,18
genetico,2,32,8,44,5,1314.0,29.864,594.0,2.6766,4,0.090909,0,3,1,0,0,24
greedy,2,32,8,44,5,7221.5,164.125,841.5,0.0029,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,5,8121.0,184.568,561.0,2.2233,24,0.545455,0,24,0,7,0,17
genetico,2,32,8,44,6,1575.5,35.807,515.5,2.6696,5,0.113636,0,2,3,0,0,22
greedy,2,32,8,44,6,7221.5,164.125,841.5,0.0025,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,6,8443.5,191.898,563.5,2.1949,23,0.522727,0,20,3,13,1,21
genetico,2,32,8,44,7,1575.5,35.807,495.5,2.6017,5,0.113636,0,2,3,0,0,21
greedy,2,32,8,44,7,7221.5,164.125,841.5,0.0018,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,7,7885.0,179.205,605.0,2.2147,22,0.5,0,21,1,11,0,21
genetico,2,32,8,44,8,1291.0,29.341,551.0,2.6427,4,0.090909,0,2,2,0,0,23
greedy,2,32,8,44,8,7221.5,164.125,841.5,0.0027,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,8,7571.5,172.08,671.5,2.1704,20,0.454545,0,20,0,12,1,20
genetico,2,32,8,44,9,1325.5,30.125,545.5,2.6104,4,0.090909,0,1,3,0,0,21
greedy,2,32,8,44,9,7221.5,164.125,841.5,0.0021,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,9,8370.5,190.239,630.5,2.1767,24,0.545455,0,21,3,9,0,18
genetico,2,32,8,44,10,1307.5,29.716,567.5,2.5321,4,0.090909,0,2,2,0,0,23
greedy,2,32,8,44,10,7221.5,164.125,841.5,0.0023,17,0.386364,0,0,17,0,20,36
random,2,32,8,44,10,8616.5,195.83,616.5,2.197,25,0.568182,0,23,2,8,0,15
genetico,4,64,16,88,1,3594.0,40.841,1154.0,5.4757,10,0.113636,0,3,7,1,1,38
greedy,4,64,16,88,1,12918.0,146.795,1658.0,0.0101,30,0.340909,0,0,30,0,37,72
random,4,64,16,88,1,18790.0,213.523,1310.0,4.2512,53,0.602273,0,42,11,22,1,36
genetico,4,64,16,88,2,4349.0,49.42,1169.0,6.0921,12,0.136364,0,5,7,3,1,41
greedy,4,64,16,88,2,12918.0,146.795,1658.0,0.0149,30,0.340909,0,0,30,0,37,72
random,4,64,16,88,2,19435.5,220.858,1375.5,6.9815,54,0.613636,0,50,4,23,5,47
genetico,4,64,16,88,3,4123.0,46.852,1163.0,5.708,12,0.136364,0,2,10,2,0,42
greedy,4,64,16,88,3,12918.0,146.795,1658.0,0.0086,30,0.340909,0,0,30,0,37,72
random,4,64,16,88,3,19338.0,219.75,1218.0,4.4463,54,0.613636,0,44,10,27,0,39
genetico,4,64,16,88,4,4650.0,52.841,1210.0,5.6427,12,0.136364,0,4,8,5,3,48
greedy,4,64,16,88,4,12918.0,146.795,1658.0,0.0079,30,0.340909,0,0,30,0,37,72
random,4,64,16,88,4,18361.5,208.653,1201.5,4.4484,53,0.602273,0,48,5,19,1,37
genetico,4,64,16,88,5,4438.5,50.438,1178.5,5.5108,12,0.136364,0,2,10,5,0,42
greedy,4,64,16,88,5,12918.0,146.795,1658.0,0.0103,30,0.340909,0,0,30,0,37,72
random,4,64,16,88,5,19051.5,216.494,1311.5,4.3392,52,0.590909,0,43,9,27,3,43
genetico,4,64,16,88,6,4445.0,50.511,1165.0,5.7672,13,0.147727,0,5,8,3,0,46
greedy,4,64,16,88,6,12918.0,146.795,1658.0,0.0108,30,0.340909,0,0,30,0,37,72
random,4,64,16,88,6,17425.5,198.017,1145.5,5.1826,50,0.568182,0,46,4,19,1,36
genetico,4,64,16,88,7,4348.0,49.409,1108.0,5.318,12,0.136364,0,1,11,3,0,33
greedy,4,64,16,88,7,12918.0,146.795,1658.0,0.0084,30,0.340909,0,0,30,0,37,72
random,4,64,16,88,7,18127.0,205.989,1247.0,4.4012,50,0.568182,0,45,5,25,2,41
genetico,4,64,16,88,8,4736.0,53.818,1156.0,5.31,14,0.159091,0,6,8,1,0,36
greedy,4,64,16,88,8,12918.0,146.795,1658.0,0.0078,30,0.340909,0,0,30,0,37,72
random,4,64,16,88,8,18999.5,215.903,1159.5,4.162,54,0.613636,0,48,6,23,1,38
genetico,4,64,16,88,9,3837.0,43.602,1157.0,5.2152,11,0.125,0,4,7,3,0,46
greedy,4,64,16,88,9,12918.0,146.795,1658.0,0.0089,30,0.340909,0,0,30,0,37,72
